,ts_code,cluster_id
1632,300249,248
1437,300048,248
2576,600421,248
1185,2766,248
2031,300657,249
1769,300389,249
791,2355,249
2390,600192,249
1942,300565,249
334,851,250
1656,300273,250
49,70,250
197,632,250
1471,300083,250
1489,300102,250
2880,600791,251
513,2072,251
1735,300352,251
1701,300318,251
1695,300312,251
2622,600495,251
1092,2663,251
1067,2638,251
1462,300074,251
305,806,251
1755,300375,252
351,882,252
1016,2586,253
281,766,253
1029,2599,253
809,2374,253
1717,300334,253
1653,300270,254
1739,300356,254
1441,300052,254
1457,300069,254
1988,300612,254
779,2343,254
1480,300093,254
958,2528,254
1885,300506,254
3117,688277,254
1713,300330,255
1434,300045,255
1990,300615,255
2416,600222,255
1146,2723,255
578,2137,255
1779,300399,255
1493,300107,255
545,2104,255
498,2055,256
1527,300141,256
2439,600250,256
2729,600616,256
3142,688365,256
701,2265,256
1828,300449,257
2084,300711,257
786,2350,257
1685,300302,257
251,716,257
2101,300730,257
27,37,257
1062,2633,257
2072,300698,257
2759,600652,258
616,2177,258
2298,600082,258
1464,300076,258
1928,300551,258
1799,300419,259
1026,2596,259
1912,300534,259
1127,2700,259
2632,600506,259
1716,300333,259
2435,600243,259
2645,600520,259
223,678,260
1433,300044,260
1120,2693,260
224,679,260
235,695,260
773,2337,260
2358,600156,260
1514,300128,260
728,2292,260
2910,600825,260
2947,600868,261
739,2303,261
2617,600488,261
2354,600151,261
196,631,262
1694,300311,263
2607,600476,263
852,2417,263
188,622,263
107,518,263
1538,300152,263
166,595,263
2300,600084,264
778,2342,264
2860,600768,264
1473,300085,264
80,416,264
934,2502,264
391,931,264
2737,600624,264
1017,2587,265
2366,600165,265
1711,300328,265
2685,600568,265
2385,600187,265
2037,300663,266
1550,300165,266
1466,300078,266
312,815,266
1889,300510,266
2529,600360,266
1586,300202,266
1636,300253,267
1272,2863,268
2631,600505,268
266,735,268
2302,600088,269
1164,2742,269
744,2308,269
2862,600770,269
2495,600318,269
1589,300205,269
1565,300180,270
992,2562,270
765,2329,271
2815,600719,271
1582,300198,271
2590,600448,271
634,2195,271
2316,600105,271
357,889,272
2360,600158,272
950,2519,272
1395,300005,272
2021,300647,272
1905,300527,272
2973,600896,272
2159,300795,273
2708,600593,273
1633,300250,273
3089,688165,273
3004,600983,273
625,2186,273
1088,2659,273
2556,600391,273
91,430,273
1851,300472,273
775,2339,274
2292,600076,274
157,584,274
1195,2776,274
2886,600797,274
2355,600152,274
1453,300065,274
978,2548,274
535,2094,274
944,2513,275
1107,2679,275
1850,300471,275
2516,600343,275
1474,300086,275
2882,600793,275
1785,300405,275
424,978,276
2937,600858,276
2679,600561,276
307,809,277
1536,300150,277
437,998,277
1305,2898,277
1588,300204,278
112,524,278
3075,688108,278
1068,2639,278
2741,600630,278
1534,300148,278
151,571,279
1189,2770,279
371,908,279
